SOURCE	LISTING_NUM	ADDRESS_ID	ADDRESS	CITY	STATE	ZIP	LATITUDE	LONGITUDE	PROPERTY_TYPE	LISTING_PRICE	INACT_SELLING_PRICE	BEDROOMS	BATHROOMS	HOME_SQ_FEET	ROOF_TYPE	LOT_SQ_FEET	POOL_TYPE	PARKING	VIEWS	LAUNDRY_ROOM	YEAR_BUILT	STORIES	FIREPLACE	LOT_DESC	STYLE	HEATING_DESCRIPTION	COOLING_DESCRIPTION	EXTERIOR	FLOORS	HOA	AMENITIES	HAS_PRIVATE_POOL	HAS_COMMUNITY_POOL	HAS_GARAGE	HAS_CARPORT	DOM	CLIENT_COMMENT1
c	21410919	11950716	2014 Long Leaf Ct	Santa Rosa	CA	95403	38.48987198	-122.7065277	SFR	869950	860000	4	3.5	3042	Composition	9601	(null)	"2 Car, Garage, Attached, Auto Door"	"City, Forest/Woods, Hills, Lights"	"Dryer Included, In Laundry Room, Washer Included"	1989	(null)	Y	City	Contemporary	Central Heat	Central Air	Stucco	"Part Hardwood, Slate, Tile, Wall-to-Wall Carpet"	69	"Awning, Cathedral Ceiling, Intercom, Skylight(s), Window Coverings, Window Screens, DSL Available, Gas Water Heater, PG&E"	0	0	0	0	44	"Contemporary in design, this unique home beckons you with gorgeous views inside and out. The open kitchen flows into the great room, crowned with cathedral ceilings and a spectacular skylight. Formal dining room with custom builtins. Gas log fireplaces add ambience to both the great room and Master bedroom. The private rear yard backs to open space. Enjoy the sunset views while relaxing in your outdoor spa. Dual zoned heating and A/C."
d	40652837	4100000	1791 Piedmont Dr	Concord	CA	94519	37.9837265	-121.9959564	SFR	379950	385000	3	2	1196	Composition Shingles	7630	Membership	"2 Garage Spaces, Attached Garage"	(null)	In Garage	1958	1	Y	"Corner, Level"	Ranch	Forced Air 1 Zone	"Ceiling Fan(s), Central 1 Zone A/C"	Wood Siding	"Vinyl, Wall to Wall Carpet"	(null)	Window Coverings	1	0	0	0	34	"Great location in a great neighborhood. Walk to all schools, close to freeway access. Good floor plan with fireplace, spacious living room, large backyard.."
d	40660781	4044956	2604 Gazelle Ct	Antioch	CA	94531	37.97576904	-121.7742767	SFR	449888	470000	5	4	3302	Tile	11284	In Ground	"3 Garage Spaces, Attached Garage, Interior Access From Garage, Off Street Parking, Garage Door Opener"	Hills	"Hookups Only, In Laundry Room"	2000	2	Y	"Court, Cul-de-sac, Premium Lot, Regular"	Contemporary	Forced Air 2 Zones	"Ceiling Fan(s), Central 2 or more Zones A/C"	Stucco	"Laminate, Tile, Wall to Wall Carpet"	(null)	Mirrored Closet Door(s)	1	0	0	0	42	"Open house 6\14 and 6\15 1 - 4 pm. Updated and move in ready, spacious 3,300+ sqft home with 5 bedrooms, 4 full baths and large loft\game room area. Fabulous cul-de-sac location. Open space on one side. Over 1\4 acre huge lot with gorgeous pool, bbq island. 1 bedroom and full bath downstairs. A must see!!!"
a	81427187	11069938	140 Stratford Street	Redwood City	CA	94062	37.48832703	-122.2462616	SFR	1900000	1900000	4	2.5	2580	Shake	10200	Pool	"Attached, 2 Car Garage"	Neighborhood	"In Laundry Room, 220 Volt Outlet"	1960	(null)	Y	Level	Ranch	"Central Forced Air, Gas"	(null)	Wood	"Tile, Hardwood"	(null)	"Security Alarm - Owned, Double Pane Window(s), Bay Window(s), Cable TV Available, Skylight(s), Ceiling Fan(s)"	1	0	0	0	0	(null)
a	81419461	11554129	20927 Jacks Road	Saratoga	CA	95070	37.25276566	-122.0402298	SFR	2400000	2400000	3	2	1990	Metal	70132	(null)	"Detached, Guest Parking, Off Street Parking, 2 Car Garage"	"Mountains, Valley, City Lights"	In Laundry Room	1949	(null)	Y	"Cul-de-sac, Level, Sloped Up"	Cottage/Bungalow	"Radiant, Steam or Hot Water, Gas"	Window/Wall Unit	Wood	"Wall to Wall Carpet, Linoleum or Vinyl"	(null)	"Security Fence, Bay Window(s)"	0	0	0	0	52	Rare Saratoga Village knoll top setting with city lights views. California ranch house with approximately 2000 square feet plus a separate 1br/1ba Guest House/Cottage with its own grounds and parking. 1.61 acres with great level/usable area; Tennis Court? Pool? Vineyard? Tremendous upside to improve existing residence or create a grand estate. Award winning Saratoga Schools.
d	40669231	4181663	2952 Saklan Indian Dr	Walnut Creek	CA	94595	37.86033578	-122.0556184	CONDO	900000	900000	2	2	2008	(null)	(null)	"Community Facility, Pool"	"1 Garage Space, Attached Garage"	"Delta, Hills"	In Laundry Room	2000	1	Y	(null)	Contemporary	Forced Air 1 Zone	Central 1 Zone A/C	Stucco	"Linoleum, Wall to Wall Carpet"	705	(null)	0	0	0	0	22	"Level in Alder plan in Eagle Ridge with sweeping view of the Delta and hills! New interior paint and flooring, two way fireplace, attached garage."
a	81425688	11021101	3130 Canyon Road	Burlingame	CA	94010	37.57227325	-122.3938751	SFR	1295000	1350000	3	2	1550	Composition	9500	(null)	"Attached, Gate/Door Opener, Guest Parking, Off Street Parking, 2 Car Garage"	(null)	"In Laundry Room, Dryer, Washer, 220 Volt Outlet"	1956	(null)	Y	Sloped Up	Traditional	Central Forced Air	Central Air	"Wood, Brick, Stucco"	"Wall to Wall Carpet, Hardwood, Linoleum or Vinyl"	(null)	"Window Covering(s), Double Pane Window(s), Bay Window(s), Cable TV Available, Skylight(s)"	0	0	0	0	28	"Towering trees,rich landscapes & privacy on 1 level home. Masterfully crafted, this lovely home makes a statement w/ natural sunlight beaming throughout. Updated kitchen with stainless steel appliances that looks out to the yard w/ an eat-in breakfast nook. Personal accommodations include 3 bedrooms, 2 baths, office/bonus room, inside laundry, A/C. WELCOME HOME..."
a	81405004	11742497	170 Heritage Drive	Scotts Valley	CA	95066	37.06291199	-122.0324173	SFR	469000	415000	4	3	1620	Composition	10934	"In Ground Concrete, Community Pool(s), Pool"	"Off Street Parking, 2 Car Garage"	Neighborhood	"In Garage, Hookup - Gas Dryer"	1959	(null)	Y	"Cul-de-sac, Sloped Up"	Contemporary	Central Forced Air	(null)	Wood	"Tile, Laminate, Linoleum or Vinyl"	(null)	"Double Pane Window(s), High Ceiling, Cable TV Available, Ceiling Fan(s)"	1	0	0	0	121	"This 4 br /3 ba homes shows pride of ownership. Sunny & bright laminate floors, lg mstr suite 2 car garage approx 1620 sq ft 2 br 1 ba downstairs 2/2 up.Located in the Mission Springs Conf grounds This is a leased land property"
a	81418217	11664820	485 La Canada Court	Morgan Hill	CA	95037	37.10263824	-121.6426697	SFR	675000	675000	4	2	1826	Composition	8276	(null)	2 Car Garage	(null)	(null)	1976	(null)	Y	(null)	(null)	Central Forced Air	Central Air	Stucco	"Area Carpeting, Tile, Hardwood"	(null)	Ceiling Fan(s)	0	0	0	0	26	This is a great starter home located on a tree lined private court * 4 bedrooms and 2 baths * best priced home in this very desirable family neighborhood
a	81413601	11135504	58 North El Camino Real #306	San Mateo	CA	94401	37.56665421	-122.3286896	CONDO	549000	580580	1	1.5	1175	Composition	54731	(null)	"Electric Door or Gate Opener, 1 Car Garage"	(null)	"Laundry Area - Inside, Dryer Included, Washer Included"	1979	(null)	Y	(null)	(null)	"Central Forced Air, Gas"	No Cooling	(null)	"Area Carpeting, Tile"	510	(null)	0	0	0	0	42	"Hip and modern condo in downtown San Mateo. 1100 sq feet, all updated and fabulous layout: Large white kitchen with granite counters, with eat in area and breakfast bar. Sep dining room, spacious living room with fireplace+patio access. Sep family room with wet bar & adjacent half bath Lg master suite with 3 spacious closets. Great pool area with spa and sauna"
a	81417859	11256775	1200 N Abbott Avenue	Milpitas	CA	95035	37.44457245	-121.9156265	CONDO	340000	345000	2	1	863	Tile	1307	Community Pool	"Guest Parking, Off Street Parking, 1 Car Carport"	Neighborhood	"In Laundry Room, Dryer, Washer, 220 Volt Outlet"	1979	(null)	(null)	(null)	Modern/High-tech	"Baseboard, Electric"	(null)	(null)	"Partial Hardwood, Tile, Laminate, Wall to Wall Carpet"	408	"Window Covering(s), Balcony or Patio, Cable TV Available, Ceiling Fan(s)"	0	0	0	0	42	"Bring your most discerning clients, beautifully remodeled bath with stone tile & marble top vanity, open spacious floor plan, the kitchen is immaculate, large deck overlooking creek & trees with amazing view, very private & peaceful, the perfect bird watchers delight! Curtner Elementary (API 923) Russell Middle (API 871) Milpitas High (API 830) close to 237 880 680 & shopping, love where you live!"
d	40654524	(null)	"237 Vagabond Ct, Private Rd"	Alamo	CA	94507	37.845779	-121.973373	SFR	1749500	1740000	5	3.5	3407	Wood Shakes/Shingles	84942	"Gas Heat, In Ground, Solar Heat"	"3 Garage Spaces, Attached Garage, Interior Access From Garage, Garage Door Opener"	"Canyon, Hills, Las Trampas Foothills, Mt Diablo, Panoramic"	"220 Volt Outlet, Gas Dryer Hookups, Hookups Only, In Laundry Room"	1978	2	Y	"Court, Cul-de-sac, Premium Lot"	Contemporary	"Forced Air 2 Zones, Gas"	"Ceiling Fan(s), Central 2 or more Zones A/C"	"Stone, Wood Siding"	"Tile, Wall to Wall Carpet"	46	"Stereo Speakers Built-In, Window Coverings"	1	0	0	0	78	"White Gate's private & gated court! Breathtaking views from everywhere. This custom home is really a ONE STORY with a large family/media room , office/BR & 1/2 bath upstairs. Enjoy the resort styled pool/spa/decks, a real Chef's kitchen, quality finishes, Vaulted ceilings & a 1st flr Master."
